"id","branch_id","class_id","teacher_id","co_teacher_id","date","actual_start_datetime","actual_end_datetime","status","created_at","updated_at","lesson_id","display_name"
"90675","9","810",\N,\N,"2024-11-14",\N,\N,"PENDING","2024-03-01 00:01:08","2024-07-07 18:59:09","226","Innovative"
"90787","9","846",\N,\N,"2024-11-14",\N,\N,"PENDING","2024-03-01 00:01:11","2024-07-07 18:59:10","274","Interesting Captions & Market Oneself"
"89586","9","384",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:51","225","Investigate"
"89582","9","383",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:48","177","Cultivating"
"89974","9","558",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-03-01 00:00:42","2024-07-07 18:59:00","177","Cultivating"
"89566","9","377",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:39","225","Investigate"
"89578","9","382",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:46","225","Investigate"
"89574","9","381",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:44","177","Cultivating"
"89562","9","376",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-03-01 00:00:30","2024-07-07 18:58:37","177","Cultivating"
"88413","9","727",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-02-01 00:00:51","2024-07-07 18:59:08","271","Lawyer in Court"
"88364","9","713",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-02-01 00:00:50","2024-07-07 18:59:07","230","Speaking Dialogue"
"89954","9","549",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-03-01 00:00:41","2024-07-07 18:58:57","273","Create Creative Content & Engage Audience"
"90137","9","627",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-03-01 00:00:49","2024-07-07 18:59:02","177","Cultivating"
"89550","9","372",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-03-01 00:00:30","2024-07-07 18:58:29","177","Cultivating"
