"user_id","branch_id","role_id"
"783","8","7"
"152","11","6"
"152","9","7"
"1802","17","6"
"1802","3","7"
"1228","7","6"
"1228","5","7"
"1402","16","6"
"1402","8","7"
"473","5","6"
"473","2","7"
"524","3","6"
"524","3","7"
"914","9","6"
"914","3","7"
"1499","17","5"
"1499","17","7"
"1988","11","6"
"1988","9","7"
"590","13","6"
"590","7","7"
"1221","14","6"
"579","5","6"
"162","5","6"
"2297","30","6"
"735","4","6"
"735","3","7"
"1883","3","6"
"1883","3","7"
"238","9","6"
"238","2","7"
"745","3","6"
"745","2","7"
"739","3","6"
"739","3","7"
"1196","4","6"
"1196","3","7"
"668","13","6"
"668","5","7"
"296","8","6"
"296","6","7"
"781","6","6"
"781","7","7"
"1529","13","6"
"1529","13","7"
"860","4","6"
"481","2","6"
"481","2","7"
"2374","25","6"
"2374","27","7"
"97","3","5"
"1737","23","5"
"1737","4","7"
"601","6","6"
"601","7","7"
"311","6","6"
"311","6","7"
"950","6","6"
"950","9","7"
"232","9","6"
"232","2","7"
"1640","7","6"
"1640","9","7"
"1029","13","6"
"1029","7","7"
"249","12","6"
"249","8","7"
"1658","11","6"
"1658","14","7"
"1674","11","6"
"1952","25","6"
"1952","2","7"
"559","7","6"
"559","2","7"
"1775","22","6"
"1775","17","7"
"1442","9","6"
"1442","7","7"
"420","4","6"
"420","4","7"
"1303","9","6"
"1303","3","7"
"577","3","6"
"614","4","6"
"1093","2","6"
"1093","7","7"
"209","3","6"
"209","9","7"
"1293","4","6"
"1293","7","7"
"112","8","5"
"112","3","7"
"1850","11","6"
"1850","18","7"
"431","5","6"
"2162","16","6"
"2162","24","7"
"1084","6","6"
"1084","4","7"
"1798","24","6"
"1798","4","7"
"1131","4","6"
"1131","13","7"
"1122","4","6"
"1870","7","6"
"1870","19","7"
"2073","17","6"
"2073","24","7"
"1940","27","6"
"1940","20","7"
"751","13","6"
"751","7","7"
"217","3","6"
"217","7","7"
"1427","9","6"
"1427","13","7"
"1815","4","6"
"1815","13","7"
"1341","16","6"
"1341","6","7"
"1063","13","6"
"2254","30","6"
"2254","25","7"
"2342","11","6"
"2342","18","7"
"2065","4","6"
"2065","22","7"
"2182","18","6"
"2182","4","7"
"1470","16","6"
"1752","24","6"
"1752","11","7"
"889","2","6"
"889","13","7"
"448","4","6"
"1366","5","6"
"791","3","6"
"791","9","7"
"1212","9","6"
"1212","9","7"
"1315","13","6"
"1315","4","7"
"574","3","6"
"1650","19","6"
"1650","4","7"
"1644","17","6"
"1644","7","7"
"1600","21","6"
"1600","14","7"
"1742","24","6"
"1742","5","7"
"313","8","6"
"313","6","7"
"916","3","6"
"916","6","7"
"727","5","6"
"727","3","7"
"881","3","6"
"881","3","7"
"1525","7","6"
"1525","5","7"
"2386","11","6"
"2386","22","7"
"90","4","5"
"1634","19","6"
"1634","2","7"
"1206","9","6"
"1206","4","7"
"1015","9","6"
"1015","4","7"
"532","2","6"
"532","3","7"
"320","8","6"
"320","6","7"
"966","4","6"
"971","5","6"
"971","4","7"
"1782","24","6"
"1782","17","7"
"642","7","6"
"642","4","7"
"1197","4","6"
"1197","3","7"
"1688","17","6"
"1688","5","7"
"1983","27","6"
"1983","17","7"
"1443","7","6"
"1443","7","7"
"1745","11","6"
"1745","7","7"
"466","5","6"
"466","5","7"
"506","4","6"
"506","5","7"
"2255","30","6"
"2255","25","7"
"2378","31","6"
"2378","7","7"
"2063","16","6"
"2063","24","7"
"1828","24","6"
"1828","17","7"
"1920","2","6"
"1920","21","7"
"352","6","6"
"352","6","7"
"563","7","6"
"563","2","7"
"1642","21","6"
"1642","15","7"
"962","11","6"
"962","9","7"
"1187","7","6"
"1187","5","7"
"1565","19","6"
"1565","4","7"
"1515","7","6"
